年別,件數總計,件數/駕駛人過失/合計,件數/駕駛人過失/超速失控,件數/駕駛人過失/酒後駕車,件數/駕駛人過失/未注意前車狀況,件數/駕駛人過失/肇事逃逸,件數/駕駛人過失/未保持行車安全間距,件數/駕駛人過失/未依規定讓車,件數/駕駛人過失/行駛疏忽,件數/駕駛人過失/違反號誌管制,件數/駕駛人過失/違反標誌標線,件數/駕駛人過失/逆向行駛,件數/駕駛人過失/轉彎不當,件數/駕駛人過失/搶越行人穿越道,件數/駕駛人過失/其他,件數/機車故障,件數/行人或乘客過失,件數/交通管制設施缺陷,件數/其他
57年,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58年,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59年,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60年,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61年,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62年,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63年,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64年,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65年,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66年,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67年,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68年,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69年,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70年,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71年,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72年,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73年,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74年,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75年,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76年,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77年,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78年,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79年,1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80年,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81年,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82年,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83年,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84年,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85年,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86年,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87年,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88年,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89年,12224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90年,12604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91年,14853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92年,15381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93年,14582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94年,15017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95年,15324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96年,14649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97年,13745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98年,15326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年,18983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100年,20046,19726,324,123,2772,1,947,3924,734,1327,524,226,2423,771,5630,11,189,60,60
101年,19192,18881,277,113,2613,1,68,3988,8,1212,466,175,1732,804,7424,7,159,42,103
102年,19687,19317,297,92,2627,1,2616,4046,716,949,446,170,2269,779,4309,6,157,61,146
103年,20529,20203,240,77,2786,0,545,3907,694,1017,461,152,3140,693,6491,2,147,17,160
104年,20649,20343,196,43,2342,1,397,2945,602,715,556,61,2597,444,9444,6,127,9,164
105年,22448,21976,220,68,2706,0,739,2619,886,731,302,152,4226,543,8784,25,228,39,180
106年,21682,21184,166,65,2337,0,2315,2400,658,656,399,106,2382,460,9240,20,209,92,177
107年,21548,21134,178,52,2134,0,457,2045,531,556,273,101,3487,398,10922,9,150,50,205
108年,22882,22466,256,57,3497,0,436,3345,705,981,522,130,5818,741,5978,6,247,37,126
109年,25545,25060,332,63,3397,0,1289,3828,770,878,557,151,6199,821,6775,14,317,33,121
110年,24038,23649,315,50,2682,0,1764,3769,815,819,562,149,5808,689,6227,18,235,28,108
111年,25141,24708,284,78,3237,0,1916,3894,971,857,498,171,6846,718,5238,29,297,28,79
